company_age,doc_completion,avg_rating,rating_variance,cancellation_rate,price_deviation,trustworthy
52,0.33,1.9,1.43,0.02,0.25,0
816,0.0,2.7,1.6,0.25,1.0,0
1203,0.67,1.6,0.14,0.38,1.39,0
1434,1.0,2.9,0.04,0.42,0.51,0
1438,0.0,4.9,0.44,0.21,0.73,0
418,0.67,2.2,1.27,0.49,1.47,0
1641,0.33,3.0,1.86,0.52,0.25,0
1815,0.33,3.9,1.65,0.43,0.25,0
294,0.0,3.6,0.64,0.57,0.63,0
1245,0.67,1.0,0.35,0.3,0.96,0
1031,0.0,4.7,1.46,0.35,1.41,0
1128,0.0,4.7,1.81,0.52,1.31,0
416,1.0,3.3,0.15,0.28,1.04,0
739,0.0,3.8,0.51,0.42,0.95,0
1881,0.67,1.4,0.31,0.48,1.47,0
457,0.67,3.7,1.86,0.35,0.78,0
1394,0.0,4.4,1.17,0.45,0.39,0
1683,0.33,4.3,0.08,0.42,0.18,0
107,1.0,4.8,1.66,0.0,0.57,1
1048,0.0,4.6,1.62,0.51,1.25,0
1109,1.0,2.6,1.5,0.47,0.25,0
1909,1.0,1.6,0.68,0.01,0.7,0
1272,0.67,4.0,0.64,0.2,0.77,1
431,0.0,3.6,0.77,0.01,0.04,0
1503,0.67,1.6,0.73,0.01,0.02,0
1792,1.0,2.0,1.76,0.22,0.58,0
1841,0.0,3.3,1.88,0.37,1.07,0
1092,1.0,2.9,0.53,0.14,0.27,0
467,1.0,2.5,0.14,0.25,0.89,0
542,0.67,1.2,0.39,0.51,0.26,0
620,0.33,4.6,1.35,0.38,0.37,0
800,1.0,2.0,1.23,0.25,0.4,0
1086,1.0,2.4,0.03,0.49,0.58,0
1494,0.33,2.6,0.1,0.19,0.95,0
554,0.67,2.0,0.76,0.53,0.97,0
1947,0.0,3.9,1.47,0.4,0.73,0
741,0.67,2.2,0.1,0.3,1.46,0
1248,1.0,2.9,0.87,0.39,0.66,0
167,1.0,4.8,0.25,0.16,1.43,0
772,0.33,2.3,1.78,0.07,1.38,0
1388,0.0,2.9,0.49,0.1,1.49,0
1305,1.0,4.8,1.59,0.29,0.31,1
623,1.0,4.5,1.85,0.21,0.53,1
775,0.67,3.1,0.94,0.17,0.42,0
793,0.33,1.3,1.76,0.49,0.93,0
1244,1.0,3.0,0.25,0.29,0.84,0
925,0.67,1.8,1.19,0.11,0.53,0
1748,0.0,4.9,1.08,0.07,0.91,0
1168,0.33,4.4,1.91,0.47,0.13,0
166,1.0,3.0,0.99,0.24,0.43,0
908,0.67,3.8,0.52,0.48,1.07,0
668,0.0,2.6,0.36,0.07,0.25,0
1167,0.0,3.7,0.39,0.11,1.04,0
305,0.67,3.0,1.39,0.1,1.47,0
344,1.0,4.9,0.33,0.26,1.34,0
1145,0.33,3.0,0.45,0.43,0.94,0
190,0.0,4.0,1.2,0.05,0.82,0
218,0.33,3.9,1.31,0.15,1.1,0
584,0.33,4.9,1.28,0.07,0.96,0
1175,0.0,1.7,1.2,0.01,0.03,0
1512,0.33,4.2,1.1,0.2,0.89,0
1138,0.33,3.8,0.15,0.13,0.64,0
817,0.33,1.4,1.63,0.36,1.3,0
1087,0.33,1.7,1.28,0.49,1.05,0
1441,0.67,4.7,0.67,0.52,1.2,0
644,0.67,1.7,1.85,0.4,0.65,0
570,0.33,4.4,0.23,0.5,1.03,0
1495,0.33,2.5,1.47,0.24,0.89,0
1003,0.67,2.3,1.82,0.52,0.85,0
307,1.0,3.4,0.08,0.52,0.55,0
811,0.67,4.5,0.33,0.52,1.29,0
426,0.0,3.2,0.25,0.26,0.19,0
175,0.0,1.1,0.76,0.19,0.47,0
1007,1.0,1.4,1.48,0.24,1.26,0
1974,0.0,1.8,0.27,0.31,0.35,0
1701,0.67,2.1,0.82,0.25,0.65,0
164,0.0,4.5,0.64,0.11,1.02,0
518,0.0,3.3,0.29,0.38,0.78,0
1021,1.0,2.3,1.34,0.57,0.86,0
1156,0.0,3.4,0.96,0.13,1.0,0
1006,1.0,3.3,1.42,0.29,0.17,0
1268,0.67,4.9,0.71,0.27,0.62,1
479,0.67,4.7,0.06,0.55,1.07,0
1870,0.0,1.9,0.4,0.16,0.32,0
992,0.0,1.2,0.15,0.39,0.19,0
619,1.0,4.4,1.23,0.03,0.27,1
1336,0.67,3.0,0.38,0.45,0.44,0
1741,0.67,1.7,1.95,0.53,1.33,0
1565,0.33,4.9,1.2,0.37,1.32,0
518,0.33,1.5,1.34,0.42,1.38,0
1515,0.67,1.5,0.72,0.12,1.34,0
571,1.0,1.4,0.92,0.29,1.02,0
943,0.0,3.0,1.97,0.6,0.59,0
1542,0.67,3.9,0.88,0.02,0.52,1
1194,0.33,2.3,0.51,0.49,0.02,0
373,0.0,1.1,2.0,0.58,1.22,0
575,0.67,1.1,0.69,0.6,1.48,0
946,0.0,1.8,1.16,0.33,1.36,0
381,1.0,3.5,1.49,0.39,1.4,0
1806,0.67,3.0,1.06,0.5,0.75,0
258,1.0,2.0,1.62,0.31,0.56,0
197,0.67,1.5,1.14,0.52,0.54,0
1527,0.33,1.4,1.31,0.58,1.02,0
237,1.0,3.5,1.11,0.09,0.76,1
953,0.0,3.3,0.19,0.06,1.1,0
590,0.67,4.5,1.56,0.51,0.89,0
259,0.33,2.6,0.07,0.45,0.03,0
1250,0.67,1.6,1.91,0.37,0.9,0
90,1.0,4.8,1.04,0.08,0.99,0
511,0.67,2.4,0.27,0.19,0.19,0
701,0.33,4.1,0.95,0.07,1.33,0
1115,0.33,4.7,1.76,0.02,0.36,0
1358,0.33,4.5,1.66,0.07,0.58,0
1395,0.67,3.0,0.58,0.51,1.31,0
1021,1.0,2.0,0.23,0.33,0.88,0
1876,0.67,3.5,1.21,0.32,1.39,0
883,0.0,3.9,0.14,0.04,0.07,0
1580,0.33,5.0,0.33,0.04,0.1,0
1107,0.0,1.3,0.45,0.23,1.12,0
1296,1.0,4.9,1.56,0.06,0.45,1
1320,0.33,3.3,1.41,0.29,1.41,0
1018,0.67,2.3,1.11,0.27,1.14,0
1465,0.33,1.8,0.16,0.39,1.2,0
1479,1.0,3.7,0.01,0.17,0.34,1
1774,0.33,4.4,0.5,0.37,0.49,0
196,1.0,1.7,1.91,0.38,0.47,0
257,0.0,3.0,0.68,0.59,1.21,0
47,1.0,1.3,1.03,0.09,0.51,0
356,0.0,3.3,0.59,0.48,0.52,0
1363,0.33,3.2,0.18,0.16,1.03,0
946,1.0,1.2,1.13,0.23,0.21,0
1212,0.67,4.7,0.44,0.38,1.07,0
305,0.0,2.7,0.82,0.07,0.42,0
1032,1.0,2.8,0.54,0.08,1.45,0
646,0.67,3.2,0.61,0.31,0.76,0
52,0.33,4.8,1.35,0.34,1.32,0
363,0.67,2.0,0.32,0.37,0.32,0
1211,0.67,2.3,1.83,0.1,0.07,0
80,0.33,2.7,1.8,0.56,1.47,0
1118,0.0,2.0,0.57,0.06,1.05,0
1941,0.67,4.8,0.79,0.54,1.1,0
1542,1.0,3.8,1.57,0.12,1.42,0
399,0.0,2.8,1.07,0.59,0.86,0
907,0.33,3.2,1.58,0.31,0.37,0
1866,1.0,2.3,1.68,0.3,1.08,0
1548,0.67,5.0,0.6,0.19,0.37,1
1681,0.0,3.7,0.17,0.53,0.79,0
585,0.0,3.7,1.55,0.06,0.76,0
895,0.0,1.0,1.07,0.49,0.61,0
1237,0.33,2.8,1.89,0.24,0.53,0
1745,1.0,4.3,1.47,0.12,0.24,1
1703,0.0,3.7,1.93,0.5,0.04,0
402,1.0,2.8,1.25,0.2,0.3,0
269,0.33,3.7,0.58,0.11,0.35,0
1112,0.33,1.2,1.3,0.46,0.79,0
925,0.67,3.1,0.61,0.09,1.35,0
497,0.67,1.2,1.2,0.5,0.34,0
690,0.67,2.0,1.51,0.1,1.4,0
1512,0.67,3.0,1.93,0.52,1.32,0
1130,1.0,1.5,1.15,0.42,0.37,0
1201,0.0,4.2,1.07,0.46,1.07,0
7,1.0,2.1,0.1,0.09,0.48,0
1510,1.0,1.2,0.78,0.51,1.33,0
1465,0.0,4.0,1.55,0.08,1.35,0
1895,0.33,4.5,0.33,0.02,1.45,0
143,1.0,4.6,1.14,0.43,0.49,0
542,0.33,4.7,0.73,0.5,0.4,0
849,0.67,1.9,1.87,0.15,1.29,0
1519,0.0,1.1,0.16,0.47,0.42,0
1572,0.67,4.6,0.4,0.13,1.35,0
1433,0.0,1.8,1.27,0.35,0.59,0
573,0.0,3.6,1.66,0.47,1.4,0
1369,1.0,3.9,0.48,0.15,1.17,0
89,1.0,4.9,1.28,0.17,0.45,1
771,0.67,3.4,0.16,0.13,0.19,0
530,1.0,2.0,0.15,0.24,1.01,0
1319,0.0,1.1,0.27,0.32,0.53,0
1683,0.33,3.7,1.32,0.59,1.31,0
350,0.33,1.2,1.16,0.25,1.38,0
1321,1.0,3.5,1.42,0.46,0.03,0
1830,0.67,2.3,0.32,0.2,1.14,0
156,0.33,1.7,0.75,0.48,0.55,0
1819,1.0,4.2,1.31,0.43,0.52,0
1450,0.0,3.1,0.5,0.35,1.3,0
114,0.67,2.5,1.33,0.19,0.2,0
542,0.33,2.2,1.03,0.57,0.05,0
1199,0.67,4.4,0.58,0.31,0.04,0
1211,0.67,2.3,0.58,0.56,0.28,0
1372,0.33,4.9,1.86,0.01,0.36,0
1343,0.67,1.2,0.87,0.03,0.95,0
284,1.0,2.6,0.03,0.05,1.45,0
992,1.0,1.7,0.46,0.33,0.47,0
548,0.67,3.7,1.49,0.57,0.87,0
746,1.0,4.9,1.57,0.27,0.55,1
1148,0.33,4.3,0.28,0.58,1.17,0
1140,0.67,3.4,0.2,0.36,0.48,0
1420,0.67,3.9,1.43,0.29,0.21,1
862,0.33,3.5,1.19,0.26,0.08,0
1791,1.0,2.2,1.96,0.24,0.57,0
1361,0.67,3.6,0.38,0.0,0.79,1
1180,0.33,3.1,0.39,0.22,0.76,0
56,1.0,1.7,1.75,0.08,0.33,0
1667,0.67,4.5,1.33,0.09,0.17,1
332,0.0,4.1,0.96,0.06,1.43,0
147,0.0,2.4,0.4,0.21,0.79,0
722,0.33,3.9,1.61,0.23,1.27,0
1096,0.67,4.7,2.0,0.58,1.44,0
1870,1.0,2.3,1.94,0.4,0.64,0
1678,0.0,2.1,1.48,0.22,0.08,0
350,0.0,1.6,0.23,0.55,1.19,0
71,0.0,3.9,1.96,0.21,0.04,0
1502,0.67,1.1,1.36,0.42,0.05,0
1662,0.0,1.9,1.7,0.5,1.47,0
217,0.0,3.1,1.2,0.52,1.32,0
213,0.33,3.1,0.64,0.48,1.22,0
1717,0.0,4.7,1.07,0.25,1.38,0
963,1.0,4.1,1.24,0.12,0.96,0
935,0.33,2.0,0.03,0.16,0.71,0
567,1.0,4.0,0.89,0.38,0.29,0
642,1.0,3.2,1.27,0.25,0.33,0
777,0.33,3.5,0.34,0.04,0.04,0
259,0.33,1.2,0.05,0.32,0.33,0
106,0.33,4.8,0.13,0.14,1.39,0
303,0.67,2.6,1.64,0.01,0.25,0
1150,1.0,2.8,0.36,0.58,0.31,0
283,0.67,4.7,0.17,0.57,0.94,0
1221,1.0,3.1,0.4,0.16,0.63,0
1520,0.0,2.6,0.26,0.0,0.64,0
572,0.33,2.2,1.96,0.3,0.63,0
1980,1.0,4.8,1.16,0.2,1.16,0
536,0.67,2.5,0.69,0.53,1.15,0
406,0.67,4.7,0.69,0.39,0.84,0
1646,1.0,3.7,0.97,0.21,0.05,1
1743,0.33,3.2,1.67,0.57,1.2,0
478,0.67,2.7,1.05,0.19,1.25,0
1195,0.67,1.5,1.84,0.3,0.88,0
1688,0.0,4.2,0.98,0.3,0.78,0
1436,1.0,2.3,1.19,0.08,1.4,0
1800,0.0,4.1,0.08,0.23,0.49,0
244,1.0,2.3,1.16,0.54,0.51,0
802,0.33,3.4,1.48,0.14,0.74,0
18,1.0,4.4,1.47,0.46,0.58,0
43,0.0,2.4,0.31,0.48,0.63,0
1799,1.0,2.5,0.49,0.6,1.47,0
765,0.0,1.9,0.27,0.44,0.72,0
194,0.33,1.1,1.51,0.24,0.31,0
1804,0.33,2.2,1.25,0.22,0.02,0
1097,0.67,1.9,1.92,0.48,1.35,0
443,0.33,2.5,1.69,0.53,0.57,0
1869,1.0,1.2,1.57,0.57,0.72,0
904,0.0,4.5,0.24,0.45,0.13,0
859,1.0,4.5,1.64,0.59,0.41,0
1325,0.33,1.5,1.15,0.05,1.2,0
1953,0.0,1.4,1.82,0.47,0.27,0
